"month","shop_id","shop_clicks","shop_sessions","avg_clicks_competitors","avg_sessions_competitors","clicks_vs_competitors","sessions_vs_competitors"
"2020-04-01",7682,"354490","651290","8255.7178217821782178","15004.980198019802",4293.872533587582,4340.4922326118785
"2020-04-01",2751,"233292","421576","8255.7178217821782178","15004.980198019802",2825.823326767227,2809.5738510580313
"2020-04-01",7712,"179450","329142","8255.7178217821782178","15004.980198019802",2173.6450284981006,2193.5517118738794
"2020-04-01",11291,"80528","144826","8255.7178217821782178","15004.980198019802",975.4209353853165,965.1862121025165
"2020-04-01",3332,"67605","119312","8255.7178217821782178","15004.980198019802",818.8870000089947,795.1493332576708
"2020-04-01",7623,"60888","107740","8255.7178217821782178","15004.980198019802",737.5252075519218,718.0282718015075
"2020-04-01",5913,"57304","105434","8255.7178217821782178","15004.980198019802",694.112871067457,702.6600409237064
"2020-04-01",2328,"52219","100104","8255.7178217821782178","15004.980198019802",632.5191961167028,667.1385012104892
"2020-04-01",5885,"44382","83422","8255.7178217821782178","15004.980198019802",537.5910485082346,555.9620799167009
"2020-04-01",1014,"30096","55440","8255.7178217821782178","15004.980198019802",364.5473434253488,369.4773286492999
"2020-04-01",3603,"28921","50600","8255.7178217821782178","15004.980198019802",350.31478333348326,337.2213713862658
"2020-04-01",9428,"27934","50540","8255.7178217821782178","15004.980198019802",338.3594328563162,336.82150414746786
"2020-04-01",3382,"24779","43962","8255.7178217821782178","15004.980198019802",300.1434949075198,292.9827258672533
"2020-04-01",5564,"23836","42588","8255.7178217821782178","15004.980198019802",288.721108382729,283.82576609878043
"2020-04-01",5131,"22021","40288","8255.7178217821782178","15004.980198019802",266.73634534720907,268.4975219448592
"2020-04-01",2448,"14448","25452","8255.7178217821782178","15004.980198019802",175.00598145299838,169.6236826980877
"2020-04-01",4385,"14314","25220","8255.7178217821782178","15004.980198019802",173.38286396167072,168.07752937473563
"2020-04-01",9186,"13393","22936","8255.7178217821782178","15004.980198019802",162.22695941306804,152.85591648449392
"2020-04-01",7881,"12548","24424","8255.7178217821782178","15004.980198019802",151.99162896402433,162.77262400668292
"2020-04-01",11098,"12439","22540","8255.7178217821782178","15004.980198019802",150.6713319001832,150.2167927084275
"2020-04-01",2084,"12419","21270","8255.7178217821782178","15004.980198019802",150.42907555819397,141.75293615387102
"2020-04-01",11228,"11597","20940","8255.7178217821782178","15004.980198019802",140.47233990243785,139.55366634048232
"2020-04-01",6208,"11118","20280","8255.7178217821782178","15004.980198019802",134.67030051179648,135.15512671370496
"2020-04-01",3137,"10662","18710","8255.7178217821782178","15004.980198019802",129.14685591444274,124.69193396515877
"2020-04-01",11813,"10421","18548","8255.7178217821782178","15004.980198019802",126.22766699347288,123.6122924204043
"2020-04-01",8126,"10421","18686","8255.7178217821782178","15004.980198019802",126.22766699347288,124.53198706963957
"2020-04-01",4841,"10375","19054","8255.7178217821782178","15004.980198019802",125.67047740689772,126.98450613426698
"2020-04-01",7382,"10006","18384","8255.7178217821782178","15004.980198019802",121.20084789719697,122.51932196768993
"2020-04-01",5719,"8841","16392","8255.7178217821782178","15004.980198019802",107.08941597632604,109.24372963959821
"2020-04-01",7807,"8307","14878","8255.7178217821782178","15004.980198019802",100.62117164521437,99.15374631393009
"2020-04-01",10200,"7766","15274","8255.7178217821782178","15004.980198019802",94.06813759440652,101.79287008999651
"2020-04-01",3436,"7667","13600","8255.7178217821782178","15004.980198019802",92.86896870155998,90.63657412753389
"2020-04-01",8652,"6234","12446","8255.7178217821782178","15004.980198019802",75.51130179803377,82.94579423465343
"2020-04-01",3725,"5597","10116","8255.7178217821782178","15004.980198019802",67.79543730567774,67.4176164613333
"2020-04-01",2492,"5591","9984","8255.7178217821782178","15004.980198019802",67.72276040308097,66.53790853597782
"2020-04-01",243,"5259","9516","8255.7178217821782178","15004.980198019802",63.70130512606025,63.418944073353856
"2020-04-01",8179,"5257","10298","8255.7178217821782178","15004.980198019802",63.67707949186132,68.63054708568706
"2020-04-01",8415,"5238","9370","8255.7178217821782178","15004.980198019802",63.44693596697159,62.445933792278865
"2020-04-01",11092,"5102","9182","8255.7178217821782178","15004.980198019802",61.79959284144502,61.19301644404531
"2020-04-01",116,"4916","8780","8255.7178217821782178","15004.980198019802",59.54660886094546,58.513905944099086
"2020-04-01",11455,"4563","8018","8255.7178217821782178","15004.980198019802",55.27078442483607,53.435592011365195
"2020-04-01",2531,"4412","7100","8255.7178217821782178","15004.980198019802",53.44174904281761,47.317623257756665
"2020-04-01",2654,"4180","7512","8255.7178217821782178","15004.980198019802",50.631575475742885,50.063378297502545
"2020-04-01",8816,"3808","6988","8255.7178217821782178","15004.980198019802",46.125607514743756,46.5712044120005
"2020-04-01",11546,"3657","6908","8255.7178217821782178","15004.980198019802",44.296572132725295,46.038048093603244
